Festival.name;Festival.month;Festival.isFamous;Festival.website;Festival.city_id;Festival.department_id;Festival.region_id
UZESTE MUSICAL;08;;www.cie-lubat.org;UZESTE;Gironde;Aquitaine
TERIAKI;08;;www.teriaki.fr;LE MANS;Sarthe;Pays de la Loire
SZIGET FESTIVAL;08;;www.szigetfestival.com;PARIS;Paris;Ile-de-France
SUMMERLIED;08;;www.summerlied.org;SCHWEIGHOUSE SUR MODER;Bas-Rhin;Alsace
ROCK EN SEINE;08;1;www.rockenseine.com;PARIS;Paris;Ile-de-France
ROCK & BLUES À SEGOUFIELLE;08;;festivalsegoufielle.free.fr;SEGOUFIELLE;Gers;Midi-Pyrénées
ROCHEFORT EN ACCORDS;08;;www.rochefort-en-accords.fr;ROCHEFORT;Charente-Maritime;Poitou-Charentes
REGGAE SUN SKA FESTIVAL;08;;www.reggaesunska.com;CISSAC MEDOC;Gironde;Aquitaine
PANTIERO;08;;www.festivalpantiero.com;CANNES;Alpes-Maritimes;Provence-Alpes-Côte-d'Azur
MUSIQUE AU PARC;08;;www.musiqueauparc.com;ST MICHEL SUR SAVASSE;Drôme;Rhône-Alpes
MUSICALARUE;08;;www.musicalarue.com;LUXEY;Landes;Aquitaine
MONDIAL'FOLK;08;;www.mondialfolk.org;PLOZEVET;Finistère;Bretagne
L'ÉTE DE VAOUR;08;;www.etedevaour.org;VAOUR;Tarn;Midi-Pyrénées
Les Z'ECLECTIQUES;08;;www.leszeclectiques.com;CHEMILLE;Maine-et-Loire;Pays de la Loire
Les NUITS SECRÈTES;08;;www.lesnuitssecretes.com;AULNOYE AYMERIES;Nord;Nord-Pas-de-Calais
Les MÉDITERRANÉENNES;08;;www.lesmediterraneennes.fr;PARIS;Paris;Ile-de-France
Les LOUSTIKS DE L'AKOUSTIK;08;;www.loustiks.org;ROCHEFORT EN TERRE;Morbihan;Bretagne
Les FENNECS;08;;www.lesfennecs.org;ST LORMEL;Côtes-d'Armor;Bretagne
Les ESTIVALES DE SAÔNE;08;;www.lesestivales.com;PONTCEY;Haute-Saône;Franche-Comté
Les DIMANCHES AU BORD DE L'ORNE;08;;www.sees.fr;SEES;Orne;Basse-Normandie
Les AGORAPHONES;08;;www.agoraphones.com;BOULOGNE SUR MER;Pas-de-Calais;Nord-Pas-de-Calais
L'ECAUSSYSTEME;08;;www.ecaussysteme.com;GIGNAC;Lot;Midi-Pyrénées
Le FESTIVAL AUX CHAMPS;08;;www.tuberculture.fr;CHANTEIX;Corrèze;Limousin
Le CHIEN À PLUMES;08;;www.chienaplumes.fr;MONTSAUGEON;Haute-Marne;Champagne-Ardenne
Le CABARET VERT;08;;www.cabaretvert.com;CHARLEVILLE MEZIERES;Ardennes;Champagne-Ardenne
La ROUTE DU ROCK - COLLECTION ÉTÉ;08;1;www.laroutedurock.com;RENNES;Ille-et-Vilaine;Bretagne
La RENVERSE;08;;larenverse.com;MUZILLAC;Morbihan;Bretagne
La MARE À THON;08;;www.la-mare-a-thon.com;FECAMP;Seine-Maritime;Haute-Normandie
INTERCELTIQUE DE LORIENT;08;;www.festival-interceltique.com;LORIENT;Morbihan;Bretagne
HIEROCKSOUNDS;08;;www.myspace.com/hierocksounds;LURE;Haute-Saône;Franche-Comté
GUCA;08;;www.guca.co.yu;GUCA;Gers;Midi-Pyrénées
FOIRE AUX VINS DE COLMAR;08;;www.foire-colmar.com;COLMAR;Haut-Rhin;Alsace
FÊTE DU BRUIT DANS LANDERNEAU;08;;www.regie-scene.com;BREST;Finistère;Bretagne
FESTIV'ALLIER;08;;www.langogneenfete.fr;LANGOGNE;Lozère;Languedoc-Roussillon
FESTIVAL SUR LIGNON;08;;www.festivalsurlignon.org;LYON;Rhône;Rhône-Alpes
Festival JAVA DANS LES BOIS;08;;gwallspered.free.fr;BEGARD;Côtes-d'Armor;Bretagne
FESTIVAL INTERNATIONAL DE THÉÂTRE DE RUE D'AURILLAC;08;;www.aurillac.net;AURILLAC;Cantal;Auvergne
FESTIVAL EPIPAPU;08;;www.festival-epipapu.fr.st;LA CHATRE;Indre;Centre
Festival du CHANT DE MARIN DE PAIMPOL;08;;paimpol-festival.com;PAIMPOL;Côtes-d'Armor;Bretagne
FESTIVAL DU BOUT DU MONDE;08;;www.festivalduboutdumonde.com;BREST;Finistère;Bretagne
FESTIVAL DES MUSIQUES ÉPICÉES;08;;www.musiques-epicees.com;ST AULAYE;Dordogne;Aquitaine
FESTIVAL DES GRANGES;08;;www.festivaldesgranges.com;LAIMONT;Meuse;Lorraine
FESTIVAL DE DOMAIZE;08;;www.festivaldedomaize.com;DOMAIZE;Puy-de-Dôme;Auvergne
FESTIVAL COUVRE-FEU;08;;www.couvrefeu.com;CORSEPT;Loire-Atlantique;Pays de la Loire
FESTIVAL COSMOPOLITE;08;;www.festival-cosmopolite.com;LA CELLE ST AVANT;Indre-et-Loire;Centre
FESTIVAL CELTE EN GÉVAUDAN;08;;www.festivalengevaudan.com;SAUGUES;Haute-Loire;Auvergne
DES CROCHES ET LA LUNE;08;;www.act-2.org;VERFEIL SUR SEYE;Tarn-et-Garonne;Midi-Pyrénées
CREST JAZZ VOCAL;08;;www.crestjazzvocal.com;CREST;Drôme;Rhône-Alpes
CAP FESTIVAL;08;;www.cap-festival.com;CENTRES;Aveyron;Midi-Pyrénées
CALVADOSE DE ROCK;08;;www.calvadosederock.fr;BAYEUX;Calvados;Basse-Normandie
BASTID'ART;08;;www.ville-miramontdeguyenne.fr;MIRAMONT DE GUYENNE;Lot-et-Garonne;Aquitaine
AVATARIUM;04;;www.avataria.org;ST ETIENNE;Loire;Rhône-Alpes
BETIZ FEST;04;;www.betizfest.info;CAMBRAI;Nord;Nord-Pas-de-Calais
FAVEURS DE PRINTEMPS;04;;www.tandem83.com;TOULON;Var;Provence-Alpes-Côte-d'Azur
FESTIVAL DES ARTEFACTS;04;;www.artefact.org;STRASBOURG;Bas-Rhin;Alsace
FESTIVAL DES GIBOULÉES;04;;www.lesgiboulees.com;PARIS;Paris;Ile-de-France
Festival D-VIATION;04;;www.artiste-compagnie.com;ALBERTVILLE;Savoie;Rhône-Alpes
Festival YAKAYALÉ;04;;www.regie-scene.com;BREST;Finistère;Bretagne
GAROROCK;04;1;www.garorock.com;MARMANDE;Lot-et-Garonne;Aquitaine
IMPETUS;04;;www.impetusfestival.com;BELFORT;Territoire de Belfort;Franche-Comté
Les DÉTOURS DE BABEL;04;;www.destoursdebababel.fr;GRENOBLE;Isère;Rhône-Alpes
Les PARADIS ARTIFICIELS;04;;www.lesparadisartificiels.fr;LILLE;Nord;Nord-Pas-de-Calais
Les ROCKTAMBULES DE TARBES;04;;rocktambules.enit.org;TARBES;Hautes-Pyrénées;Midi-Pyrénées
MYTHOS;04;;www.festival-mythos.com;RENNES;Ille-et-Vilaine;Bretagne
PANORAMAS;04;;www.festivalpanoramas.com;MORLAIX;Finistère;Bretagne
PRINTIVAL BOBY LAPOINTE;04;;printivalbobylapointe.com;PEZENAS;Hérault;Languedoc-Roussillon
REPERKUSOUND;04;;www.reperkusound.com;LYON;Rhône;Rhône-Alpes
SHAKER FEST;04;;www.festi-music.com;BELLIGNE;Loire-Atlantique;Pays de la Loire
SYNTHETIC ASSOCIATION;04;;www.festivalsynthetic.com;MONTMAIN;Seine-Maritime;Haute-Normandie
Les AVENTURIERS;12; ;www.fontenayenscenes.fr;FONTENAY SOUS BOIS;Val-de-Marne;Ile-de-France
B-SIDE REGGAE FESTIVAL;12;;www.facebook.com/afriksystem;CERGY ST CHRISTOPHE;Val d'oise;Ile-de-France
BARS EN TRANS;12;;www.barsentrans.com;RENNES;Ille-et-Vilaine;Bretagne
NOËL AU BALCON;12;;www.deauville.fr;DEAUVILLE;Calvados;Basse-Normandie
Les RENCONTRES TRANSMUSICALES;12;;www.lestrans.com;RENNES;Ille-et-Vilaine;Bretagne
TGV GÉNÉRIQ FESTIVAL;12;;www.generiq-festival.com;CRAVANCHE;Territoire de Belfort;Franche-Comté
TISSÉ METISSE;12;;www.tisse-metisse.org;NANTES;Loire-Atlantique;Pays de la Loire
WINTER FESTIVAL;12;;www.rocktime.org;ALBI;Tarn;Midi-Pyrénées
TARN ET GAROCK;02;;www.adda.cg82.fr;MONTAUBAN;Tarn-et-Garonne;Midi-Pyrénées
MONTPELLIER À 100%;02;;www.festival100pour100.com;MONTPELLIER;Hérault;Languedoc-Roussillon
La ROUTE DU ROCK - COLLECTION HIVER;02;;www.laroutedurock.com;RENNES;Ille-et-Vilaine;Bretagne
FESTIVAL ANTRA'ZIK;02;;www.myspace.com/festivalantrazik;LILLE;Nord;Nord-Pas-de-Calais
EPIDEMIC EXPERIENCE;02;;www.zone51.net;SELESTAT;Bas-Rhin;Alsace
DE L'OXYGÈNE POUR LES OREILLES;02;;www.premiere-pression.com;TOURNEFEUILLE;Haute-Garonne;Midi-Pyrénées
BRUITS D'HIVER;02;;www.theatre-charles-dullin.com;LE GRAND QUEVILLY;Seine-Maritime;Haute-Normandie
DANCE SKA LA;01;;www.myspace.com/bananajuicerecords;RENNES;Ille-et-Vilaine;Bretagne
FESTIVAL DU SCHMOUL;01;;www.schmoulbrouk.com;BAIN DE BRETAGNE;Ille-et-Vilaine;Bretagne
MO'FO;01;;www.mainsdoeuvres.org;ST OUEN;Seine-Saint-Denis;Ile-de-France
SONS D'HIVER;01;;www.sonsdhiver.org;VITRY;Val-de-Marne;Ile-de-France
SURESNES CITÉS DANSE;01;;www.theatre-suresnes.fr;SURESNES;Hauts-de-Seine;Ile-de-France
VOIX DE LA MÉDITERRANÉE;07;;www.voixdelamediterranee.com;LODEVE;Hérault;Languedoc-Roussillon
VOCHORA;07;;vochora.fr;TOURNON;Ardèche;Rhône-Alpes
VILLE EN MUSIQUES;07;;www.maisonduboulanger.com;TROYES;Aube;Champagne-Ardenne
VACHEMENT ROCK FESTIVAL;07;;www.myspace.com/vachementrock;ANGLARDS DE SALERS;Cantal;Auvergne
TERRES BLANCHES;07;;www.festival-terres-blanches.fr;GUERANDE;Loire-Atlantique;Pays de la Loire
TERRE DE COULEURS;07;;terredecouleurs.asso.fr;STE CROIX VOLVESTRE;Ariège;Midi-Pyrénées
SUMMER REGGAE FEST;07;;www.summerreggaefest.com;ST MALO;Ille-et-Vilaine;Bretagne
SONOR'ÉTÉ;07;;www.lameridienne-luneville.fr;LUNEVILLE;Meurthe-et-Moselle;Lorraine
SCÈNES DE RUE;07;1;www.mulhouse.fr;MULHOUSE;Haut-Rhin;Alsace
SABLE SHOW;07;;villers-sur-mer.fr;VILLERS SUR MER;Calvados;Basse-Normandie
ROCKYSSIMÔMES;07;;www.sable-culture.fr;SABLE SUR SARTHE;Sarthe;Pays de la Loire
ROCK'N CAUX;07;;www.rockncaux.org;STE MARGUERITE SUR MER;Seine-Maritime;Haute-Normandie
ROCK PRESERV';07;;www.myspace.com/rockpreserv;BROUT VERNET;Allier;Auvergne
ROCK EN STOCK FESTIVAL;07;;www.rockenstock.org;ETAPLES;Pas-de-Calais;Nord-Pas-de-Calais
RENCONTRES BREL;07;;www.rencontresbrel.com;ST PIERRE DE CHARTREUSE;Isère;Rhône-Alpes
QUARTIERS D'ÉTÉ;07;;www.crij-bretagne.com;RENNES;Ille-et-Vilaine;Bretagne
PAUSE GUITARE;07;;www.arpegesettremolos.net;ALBI;Tarn;Midi-Pyrénées
PARIS QUARTIER D'ÉTÉ;07;;www.quartierdete.com;PARIS;Paris;Ile-de-France
PALEO FESTIVAL NYON;07;;www.paleo.ch;NYON 1;Ain;Rhône-Alpes
NUITS PÉPLUM D'ALESIA;07;;www.lesnuitspeplumdalesia.com;VENAREY LES LAUMES;Côte-d'Or;Bourgogne
NICE JAZZ FESTIVAL;07;;www.nicejazzfestival.fr;NICE;Alpes-Maritimes;Provence-Alpes-Côte-d'Azur
MUSIQUES EN STOCK;07;;www.musiques-en-stock.com;CLUSES;Haute-Savoie;Rhône-Alpes
MUSIQUES À GARDANNE;07;;www.ville-gardanne.fr;GARDANNE;Bouches-du-Rhône;Provence-Alpes-Côte-d'Azur
MUSILAC;07;;www.musilac.com;GRENOBLE;Isère;Rhône-Alpes
MUSIKS À MANOSQUE;07;;www.adcalaffiche.fr;MANOSQUE;Alpes-de-Haute-Provence;Provence-Alpes-Côte-d'Azur
MUSICOPARC;07;;www.rosny93.fr;ROSNY SOUS BOIS;Seine-Saint-Denis;Ile-de-France
MONTJOUX FESTIVAL;07;;www.montjouxfestival.com;THONON LES BAINS;Haute-Savoie;Rhône-Alpes
LONGWY LA NUIT;07;;www.mairie-longwy.fr;LONGWY-BAS;Meurthe-et-Moselle;Lorraine
LEZ'ARTS SCÉNIQUES;07;;www.lezartssceniques.com;SELESTAT;Bas-Rhin;Alsace
Les Z'ESTIVALES;07;;www.ville-lehavre.fr;LE HAVRE;Seine-Maritime;Haute-Normandie
Les ZACCROS D'MA RUE;07;;www.zaccros.org;NEVERS;Nièvre;Bourgogne
Les VOIX DU GAOU;07;;www.voixdugaou.fr;MARSEILLE;Bouches-du-Rhône;Provence-Alpes-Côte-d'Azur
Les VIREVOLTÉS;07;;www.lesvirevoltes.org;VIRE;Calvados;Basse-Normandie
Les TRADIGORDINES;07;;tradigordines.chez-alice.fr/topic/index.html;LALINDE;Dordogne;Aquitaine
Les TERRES DU SON;07;;www.terresduson.com;ST PIERRE DES CORPS;Indre-et-Loire;Centre
Les TERRASSES DU JEUDI;07;;www.terrassesdujeudi.fr;ROUEN;Seine-Maritime;Haute-Normandie
Les SORTIES DE BAIN;07;;www.sortiesdebain.com;GRANVILLE;Manche;Basse-Normandie
Les OCÉANIQUES;07;;www.ville-tarnos.fr;TARNOS;Landes;Aquitaine
Les NUITS SALINES;07;;nuitssalines.free.fr;BATZ SUR MER;Loire-Atlantique;Pays de la Loire
Les NUITS DU SUD;07;;www.nuitsdusud.com;VENCE;Alpes-Maritimes;Provence-Alpes-Côte-d'Azur
Les NOCTIBULES;07;;www.bonlieu-annecy.com;ANNECY;Haute-Savoie;Rhône-Alpes
Les MUSICOMANIES;07;;www.spectacles-evenements.com;PARIS;Paris;Ile-de-France
Les MÉLOMANIES;07;;mjcromilly.pagesperso-orange.fr;ROMILLY SUR SEINE;Aube;Champagne-Ardenne
Les FÊTES MARITIMES DE DOUARNENEZ;07;;www.tempsfetes-dz.com;DOUARNENEZ;Finistère;Bretagne
Les FESTI'CAVES;07;;www.myspace.com/festicaves;LE FRASNOIS;Jura;Franche-Comté
Les EUROCKÉENNES DE BELFORT;07;1;www.eurockeennes.fr;BAVILLIERS;Territoire de Belfort;Franche-Comté
Les ESTIVALES DE PORNIC;07;;www.acap-pornic.com;PORNIC;Loire-Atlantique;Pays de la Loire
Les DÉFERLANTES D'ARGELÈS-SUR-MER;07;;www.lesdeferlantesdargelessurmer.com;PERPIGNAN;Pyrénées-Orientales;Languedoc-Roussillon
Les AUTHENTIKS;07;;www.locomysic.com;VIENNE;Isère;Rhône-Alpes
Les AFFRANCHIS;07;;www.lecarroi.org;LA FLECHE;Sarthe;Pays de la Loire
Le GRAND SOUK;07;;www.legrandsouk.com;RIBERAC;Dordogne;Aquitaine
Le CHANT DE FOIRE;07;;www.lechantdefoire.com;BOURNEZEAU;Vendée;Pays de la Loire
La TOUR PREND L'AIR;07;;www.kontshasso.net;VOISINS LE BRETONNEUX;Yvelines;Ile-de-France
La PLEINE LUNE;07;;www.lapleinelune.com;PAYZAC;Ardèche;Rhône-Alpes
La PAMPARINA;07;;www.pamparinalefestival.com;THIERS;Puy-de-Dôme;Auvergne
La GUERRE DU SON;07;;www.laguerreduson.com;COLOMBIER FONTAINE;Doubs;Franche-Comté
JAZZ À JUAN;07;;www.jazzajuan.fr;ANTIBES;Alpes-Maritimes;Provence-Alpes-Côte-d'Azur
GARANCE REGGAE FESTIVAL;07;;garancereggaefestival.com/kingston-village;PARIS;Paris;Ile-de-France
FREE MUSIC FESTIVAL;07;;www.freemusic-festival.com;MONTENDRE;Charente-Maritime;Poitou-Charentes
FRANCOFOLIES;07;1;www.francofolies.fr;LA ROCHELLE;Charente-Maritime;Poitou-Charentes
FÊTES ESCALES À VENISSIEUX;07;;www.ville-venissieux.fr;VENISSIEUX;Rhône;Rhône-Alpes
FÊTE DE LA CRÈPE;07;;www.fete-de-la-crepe.com;GOURIN;Morbihan;Bretagne
FEST'ROUTE;07;;www.fest-route.com;SECHERAS;Ardèche;Rhône-Alpes
FESTIVAL SOUS LES PINS;07;;www.chateauneuf-les-martigues.fr;CHATEAUNEUF LES MARTIGUES;Bouches-du-Rhône;Provence-Alpes-Côte-d'Azur
Festival KANN AL LOAR;07;;kann-al-loar.com;LANDERNEAU;Finistère;Bretagne
FESTIVAL INTERNATIONAL D'AIRVAULT;07;;airvaudais-valduthouet.csc79.org;AIRVAULT;Deux-Sèvres;Poitou-Charentes
FESTIVAL EN OTHE ET EN ARMANCE;07;;www.festivalenothe.org;AUXON;Aube;Champagne-Ardenne
FESTIVAL EHZ;07;;www.ehz-festibala.com;HASPARREN;Pyrénées-Atlantiques;Aquitaine
FESTIVAL DU RYTHME EN CEVENNES;07;;www.festivaldurythme.fr;ST JEAN DU PIN;Gard;Languedoc-Roussillon
FESTIVAL DU COL DES 1000;07;;www.coldes1000.com;VOIRON;Isère;Rhône-Alpes
FESTIVAL D'ÉTE DE VALENCE;07;;ville-valence.fr;VALENCE;Drôme;Rhône-Alpes
FESTIVAL DES VIEILLES CHARRUES;07;1;www.vieillescharrues.asso.fr;CARHAIX;Finistère;Bretagne
FESTIVAL DE THAU;07;;www.festivaldethau.com;MEZE;Hérault;Languedoc-Roussillon
FESTIVAL DE SEDIÈRES;07;;www.sedieres.fr;TULLE;Corrèze;Limousin
